id,city,type,squareMeters,rooms,floor,floorCount,buildYear,ownership,buildingMaterial,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,price_per_m2,building_age
79265665d026fc307d5ac14a51b1b39f,katowice,tenement,31.73,1,,,,condominium,brick,False,False,False,True,True,169900,5354.55,Old
9089ab1cd5d745d42a72e28fc1e60056,warszawa,blockOfFlats,60.0,3,,,,condominium,unknown,False,False,,False,False,760000,12666.67,Old
b3e0e0d3a6c8e0908262a5a6c7ab57bd,wroclaw,tenement,59.6,2,,,,condominium,brick,False,True,False,False,True,620000,10402.68,Old
0b538b2f8a61c0928424587e32c9aeb9,gdansk,unknown,68.0,3,,,,condominium,unknown,False,False,True,False,False,799000,11750.0,Old
b1e2c390e328186dd3163d53df67496b,gdynia,unknown,120.0,5,,,,condominium,unknown,False,False,,False,False,1120000,9333.33,Old
e96226ef3f2c3a661fb5091ac845bc6a,radom,blockOfFlats,56.0,3,,,,condominium,concreteSlab,False,True,True,False,True,335000,5982.14,Old
7a172c97595122071d32f5e9444fcc1f,warszawa,unknown,54.69,3,,,,condominium,unknown,False,False,,False,False,550000,10056.68,Old
96e6a7a53391252a41947f620a055715,warszawa,apartmentBuilding,41.0,2,,,,condominium,brick,False,False,,False,False,823000,20073.17,Old
e91c652f83dab2ed7ab12c066f8d1059,gdansk,unknown,38.0,2,,,,condominium,unknown,False,False,,False,False,699950,18419.74,Old
1c685d293301921246021fc12a6f5e4f,warszawa,unknown,52.17,2,,,,condominium,unknown,False,False,,False,False,680000,13034.31,Old
92debcd453059f2f1a4a1dfbe3f1e9c9,lodz,tenement,44.0,2,,,,condominium,brick,True,False,,False,False,225000,5113.64,Old
c7882b46375ba4fc8f45eda9da42b134,bydgoszcz,tenement,40.0,2,,,,condominium,brick,False,False,,False,False,299000,7475.0,Old
397451f6076067143637331de92a423e,gdansk,unknown,89.9,4,,,,condominium,unknown,True,True,False,False,True,1080000,12013.35,Old
f569ec7a00e30acef0481e50e8b976af,krakow,unknown,37.0,2,,,,condominium,unknown,True,False,True,False,False,499500,13500.0,Old
3e0475f4ec1f1867ec03071da44074fd,krakow,tenement,51.0,3,,,,condominium,brick,False,False,,False,False,797000,15627.45,Old
7bcbfac89d404c538660bd74eacb6a7d,krakow,unknown,62.0,3,,,,condominium,unknown,False,True,False,False,False,910000,14677.42,Old
b4cf60ac19d49a6681d64fb685ff51f2,warszawa,blockOfFlats,53.0,3,,,,condominium,unknown,True,True,False,False,True,740000,13962.26,Old
a1c9d340ac4881b2f0cc26242e9c9a9a,krakow,apartmentBuilding,71.0,4,,,,condominium,brick,False,False,False,False,True,899000,12661.97,Old
7c3e85952baada8ffb2c273d218e7f9d,krakow,apartmentBuilding,45.6,2,,,,condominium,brick,False,False,,False,False,620000,13596.49,Old
9428f6e179c64e22e0f9b169a49f67bb,szczecin,tenement,90.0,3,,,,condominium,brick,False,False,,False,False,390000,4333.33,Old
e84befdf0a4dcc05b5195aece1c369ee,krakow,unknown,51.79,3,,,,condominium,unknown,True,True,False,True,False,539000,10407.41,Old
5153ac05331474fc76399957456bbced,lublin,blockOfFlats,81.0,4,,,,condominium,unknown,False,False,True,False,False,725000,8950.62,Old
da5c04c7ce8ad398ef4e017544f6ef22,wroclaw,unknown,39.03,2,,,,condominium,unknown,False,False,,False,False,468000,11990.78,Old
c28d4016d7a6cf93aaf15f1e359d3c5b,lodz,tenement,43.0,2,,,,condominium,brick,False,False,False,False,True,305000,7093.02,Old
348ea76b815c0c9caff461746d494a81,krakow,apartmentBuilding,65.0,2,,,,condominium,brick,False,False,,False,False,1625000,25000.0,Old
02a6091ffdb9e828e5ebaf9d55c1d012,lodz,unknown,49.0,3,,,,condominium,unknown,False,False,,False,False,340000,6938.78,Old
11d59ba2331c95bb126618e0f240446a,katowice,unknown,36.27,2,,,,condominium,unknown,False,False,,False,False,255000,7030.6,Old
fde7af76e235605c0d8fd274175f6d48,katowice,tenement,38.06,2,,,,condominium,brick,False,False,False,False,True,184900,4858.12,Old
05ea13c5cd0dae3f75d0045022b87188,bydgoszcz,tenement,64.0,2,,,,condominium,brick,True,False,,False,False,390000,6093.75,Old
0fe3c702a2427e11ca2c25422708c2f1,krakow,tenement,56.02,3,,,,condominium,brick,False,False,,False,False,419000,7479.47,Old
dbd981ac20c0d9eaf9141db4d37fabcb,krakow,tenement,38.0,2,,,,condominium,brick,False,False,,False,False,629000,16552.63,Old
bbf7ddf728f53934482838cc41c23ee3,poznan,unknown,26.0,1,,,,condominium,brick,False,False,,False,False,325000,12500.0,Old
f7fbcd0bf207fa0f125c2af054a0aada,warszawa,unknown,140.0,6,,,,condominium,unknown,True,False,False,True,False,1600000,11428.57,Old
bd592b5503b4139e0caadbd4f3bc422e,warszawa,blockOfFlats,88.3,3,,,,condominium,unknown,True,True,False,True,False,1170000,13250.28,Old
5cdc3d4a0dbd03be0c6e7bc27f0da763,warszawa,unknown,45.0,3,,,,condominium,unknown,False,True,False,False,False,610000,13555.56,Old
cd217ff225c3f75ead160159950816de,katowice,tenement,29.59,2,,,,condominium,brick,False,False,False,True,True,164900,5572.83,Old
c684915c9b837784964a71c33c7c9845,krakow,unknown,84.0,3,,,,condominium,unknown,False,False,,False,False,890000,10595.24,Old
b887968c23941ba67107a7010ea3eeee,gdansk,unknown,31.0,1,,,,condominium,unknown,True,False,True,True,False,560000,18064.52,Old
e3852a2b0f11bf5c4d511847ca59f732,katowice,tenement,48.96,2,,,,condominium,brick,False,False,False,True,False,259900,5308.42,Old
2a0d6bb10753b3dd19b24aaab4175267,krakow,unknown,38.0,2,,,,condominium,unknown,False,False,True,False,False,559000,14710.53,Old
c878dd7d35a774c2e020d39abf8b4b41,katowice,unknown,60.0,3,,,,condominium,unknown,False,False,,False,False,618000,10300.0,Old
abde73a89e7cc5116bb2efc8d49cd24c,warszawa,unknown,90.0,4,,,,condominium,unknown,True,False,True,True,False,1390000,15444.44,Old
effe6c51f68e6705324d9544c089e573,warszawa,unknown,59.0,2,,,,condominium,unknown,True,False,True,True,False,849000,14389.83,Old
c58d3046e576e772e58309f1de355854,lodz,blockOfFlats,37.0,2,,,,condominium,unknown,True,True,False,False,True,225000,6081.08,Old
03c72d7486f0be9f212733b5d3aa13f7,katowice,unknown,51.2,2,,,,condominium,unknown,False,False,,False,False,179900,3513.67,Old
d3dab5dd977e1382e16839d7cae47958,gdansk,unknown,90.0,3,,,,condominium,unknown,True,False,,False,False,1200000,13333.33,Old
3b4955084b8c168c94b584d88badeb69,poznan,unknown,102.0,5,,,,condominium,unknown,False,False,,False,False,990000,9705.88,Old
e1de6b165d2d26dcfdb41c31a6bc14d0,katowice,unknown,52.1,2,,,,condominium,unknown,False,True,False,False,False,397677,7632.96,Old
d6f111e3418d2540651a78122b12a37f,katowice,tenement,35.5,2,,,,condominium,brick,False,False,False,True,True,179900,5067.61,Old
152dbb59ed1105801ae7d23cda0a64f3,bydgoszcz,unknown,68.0,2,,,,condominium,unknown,False,False,,False,False,335000,4926.47,Old
40c968c493d95c3934ba375d2232a96d,krakow,unknown,35.0,2,,,,condominium,unknown,False,False,,False,False,285000,8142.86,Old
38b5dc88aa59620fb305e3e6f8522635,gdynia,unknown,63.0,4,,,,cooperative,unknown,False,False,False,False,False,674000,10698.41,Old
d24b1f0a6fc1842f0f829a55bdd8abf2,bydgoszcz,unknown,68.0,3,,,,condominium,unknown,False,True,False,False,False,549000,8073.53,Old
c4145bcba470bf9656e657d3f2bdb496,wroclaw,unknown,32.79,1,,,,condominium,unknown,False,False,,False,False,459000,13998.17,Old
9e3b4d3b40c7271f5a1322067f786899,warszawa,unknown,53.0,2,,,,condominium,unknown,False,False,,False,False,920000,17358.49,Old
063d3615343054ae67741c6f42ee7e5c,warszawa,unknown,38.0,2,,,,condominium,unknown,False,False,,False,False,555000,14605.26,Old
9b25b631ffd87591b0e75c34691950c2,bydgoszcz,unknown,36.0,2,,,,condominium,unknown,False,False,,False,False,175000,4861.11,Old
bee710f446374396dca183d508d077f2,gdynia,blockOfFlats,43.3,2,,,,condominium,unknown,False,False,,False,False,360000,8314.09,Old
350a209f9b2fd5c1759bc3fd1bb8b03b,wroclaw,unknown,50.0,3,,,,condominium,unknown,False,False,,False,False,659000,13180.0,Old
d1466d9b5d70512146e8704f16e32cf1,poznan,blockOfFlats,110.0,4,,,,condominium,brick,False,False,,False,False,600000,5454.55,Old
595721e5153d290987401d05d4bcd319,katowice,unknown,58.0,2,,,,condominium,unknown,False,False,False,False,True,389000,6706.9,Old
8761361d4bd4ffcb70b9d7207789aa15,krakow,blockOfFlats,40.0,2,,,,condominium,unknown,False,True,False,False,True,590000,14750.0,Old
e0f4a75449b3f3f7f4cc47e06ef5f64d,bydgoszcz,tenement,25.0,2,,,,condominium,brick,False,False,False,False,True,235000,9400.0,Old
834379165333906ca71782e25d285b86,lodz,tenement,58.0,2,,,,condominium,brick,False,False,,False,False,330000,5689.66,Old
b8da1e64d5d46d450e920828714e97d0,krakow,unknown,59.0,2,,,,condominium,unknown,False,False,,False,False,884000,14983.05,Old
cbb893d5f07f6375f1f6cef8644d50ba,katowice,tenement,39.35,2,,,,condominium,brick,False,False,False,False,True,199900,5080.05,Old
e6226c755e6b4662341210b24b21edae,krakow,unknown,64.0,3,,,,condominium,unknown,False,False,,False,False,640000,10000.0,Old
435e05ba15d45079814788b00c1a0e05,katowice,unknown,36.0,2,,,,condominium,unknown,False,False,,False,False,540000,15000.0,Old
4404523ad0d5c32b3278d4283e598409,katowice,unknown,31.89,1,,,,cooperative,concreteSlab,False,False,True,False,False,189500,5942.3,Old
b0f046c311cef93cddc56a5bfb8ac4a0,poznan,tenement,36.98,2,,,,condominium,brick,True,True,False,False,False,250000,6760.41,Old
6c5fd0f4fbfdd15ab03ba2eedae917a9,warszawa,unknown,90.0,3,,,,condominium,unknown,True,False,,False,False,1730000,19222.22,Old
3d897f76182d5d99cb5ce4fd18b28c1e,bydgoszcz,tenement,29.37,2,,,,condominium,brick,False,False,False,False,True,179000,6094.65,Old
139b17e834d24a4b2ae06e76c5103499,krakow,unknown,32.0,1,,,,condominium,unknown,False,False,False,False,True,599000,18718.75,Old
b71ba5e608929fdc083abade85487d6f,poznan,blockOfFlats,79.5,3,,,,condominium,brick,False,False,False,False,True,669000,8415.09,Old
86a01415485b074bfa28e3ac7a555c39,katowice,tenement,33.84,1,,,,condominium,brick,False,False,False,True,True,159900,4725.18,Old
b43a8b34832d112fdd9dd3d07e3c6251,gdansk,apartmentBuilding,39.5,2,,,,condominium,brick,False,True,True,False,True,749000,18962.03,Old
3581c6875a0f16a795c7fd7e331cbec3,rzeszow,unknown,75.0,3,,,,condominium,unknown,False,False,,False,False,491000,6546.67,Old
52f78f4bcb04ab50e2e048ad08289930,bydgoszcz,unknown,40.56,2,,,,condominium,unknown,False,False,,False,False,320000,7889.55,Old
f3c8589aa467ff8582ec541cdcd98233,warszawa,tenement,43.71,2,,,,condominium,brick,False,False,,False,False,859000,19652.25,Old
89b34f85314d039ef5069a859a86eb53,szczecin,unknown,44.96,2,,,,cooperative,unknown,False,False,,False,False,370000,8229.54,Old
78268d2885675a67346098dbfd748d0e,warszawa,unknown,63.0,3,,,,condominium,unknown,False,True,False,False,False,800000,12698.41,Old
ce168029990e44dd9329f7531451a8a6,bydgoszcz,unknown,50.3,3,,,,condominium,unknown,False,False,,False,False,371700,7389.66,Old
9e6d4824e5991fea135197f000096981,katowice,unknown,64.0,3,,,,condominium,unknown,False,False,,False,False,659000,10296.88,Old
19993e39d5254ac079c150b1e3ff199c,katowice,tenement,48.75,3,,,,condominium,brick,False,False,False,False,False,259900,5331.28,Old
1a278796a3dbc134b43171d51c4b2d21,warszawa,blockOfFlats,91.53,5,,,,condominium,unknown,False,False,,False,False,700000,7647.77,Old
5a143ae16df1f3a12602c5f8ed582c69,warszawa,blockOfFlats,73.13,4,,,,condominium,brick,False,False,True,False,False,855621,11700.0,Old
c34f6218b73ea8e8ebb1529fdf4b1edd,warszawa,unknown,68.65,3,,,,condominium,unknown,False,False,,False,False,755150,11000.0,Old
bbb47a5c2e7ca5b13358a1d8605f0b1b,lodz,unknown,85.0,4,,,,condominium,unknown,False,False,,False,False,850000,10000.0,Old
9410df8515c8e21657d92811e4861cb8,krakow,blockOfFlats,33.0,2,,,,condominium,unknown,False,False,,False,False,580000,17575.76,Old
664af6e3dc1885c09f38c6fb5a951f39,czestochowa,unknown,30.0,1,,,,condominium,unknown,False,False,,False,False,189000,6300.0,Old
9fe2fd26d2a49aeb7cf8fd0cbddf34a4,wroclaw,unknown,57.18,3,,,,condominium,unknown,False,False,False,False,False,635000,11105.28,Old
8f9849fd2821923a715ebf95cf04fd08,warszawa,unknown,30.0,1,,,,condominium,unknown,True,False,,False,False,540000,18000.0,Old
942b0cfde51b451ae4b676d9143a93d4,krakow,apartmentBuilding,80.0,4,,,,condominium,brick,False,True,False,False,False,1190000,14875.0,Old
59a5573ec63c1e82e5c7de7f319cd536,warszawa,unknown,63.0,2,,,,condominium,unknown,False,False,,False,False,640000,10158.73,Old
4e0f87511c4589296ae37ebcb78fc25a,poznan,unknown,53.0,2,,,,condominium,unknown,False,False,False,False,False,475000,8962.26,Old
59cac6c47a8b7449db7d5c2eeb46e624,krakow,tenement,33.2,2,,,,condominium,brick,False,False,True,False,False,530000,15963.86,Old
b15b171f1284d7fac95a65ad107b357f,lodz,unknown,51.0,2,,,,condominium,unknown,False,False,,False,False,397800,7800.0,Old
